Open,High,Low,Close,Volume,Timestamp
47041.94,47073.84,47041.94,47067.6,0.064122,2022-01-03T08:10:00Z
47063.67,47080.85,47050.22,47050.22,0.997455,2022-01-03T08:11:00Z
47060.92,47108.5,47060.92,47105.25,0.616451,2022-01-03T08:12:00Z
47116.51,47116.51,47073.1,47073.1,0.023031,2022-01-03T08:13:00Z
47072.06,47074.71,47066.36,47066.36,0.01646,2022-01-03T08:14:00Z
47067.51,47067.51,47040.22,47040.22,0.022847,2022-01-03T08:15:00Z
47037.35,47044.93,47037.34,47038.32,0.107338,2022-01-03T08:16:00Z
47034.3,47034.3,47002.45,47008.22,0.032392,2022-01-03T08:17:00Z
47007.78,47012.12,47007.78,47012.12,0.26426,2022-01-03T08:18:00Z
47017.64,47021.25,47017.64,47021.25,0.04653,2022-01-03T08:19:00Z
47016.48,47021.43,47016.48,47021.43,0.119865,2022-01-03T08:20:00Z
47032.01,47032.01,47014.55,47028.19,0.052656,2022-01-03T08:21:00Z
47024.33,47024.33,47007.67,47013.72,0.227736,2022-01-03T08:22:00Z
47012.95,47013.07,47012.95,47013.07,0.0059,2022-01-03T08:23:00Z
47011.55,47013.91,47011.55,47011.6,0.013594,2022-01-03T08:24:00Z
47000,47012.28,47000,47012.28,0.018222,2022-01-03T08:25:00Z
47013.92,47013.92,47013.92,47013.92,0.002977,2022-01-03T08:26:00Z
47014.1,47019.6,47014.1,47015.5,0.009368,2022-01-03T08:27:00Z
47022.99,47022.99,47018.28,47021.74,0.002328,2022-01-03T08:28:00Z
47014.1,47014.1,46996.04,47001.9,1.16808,2022-01-03T08:29:00Z
47008.74,47024.81,47008.52,47024.81,0.266526,2022-01-03T08:30:00Z
47028.12,47037.55,47028.12,47034.77,0.247261,2022-01-03T08:31:00Z
47033.93,47033.93,47014.65,47014.65,0.028611,2022-01-03T08:32:00Z
47012.11,47014.53,47008.38,47014.53,0.005524,2022-01-03T08:34:00Z
47014.65,47014.65,47008.86,47008.86,0.002529,2022-01-03T08:35:00Z
47014.4,47014.4,46960.96,46974.05,1.412424,2022-01-03T08:36:00Z
46966.58,46972.73,46966.58,46972.73,0.048921,2022-01-03T08:37:00Z
46975.33,47001.04,46974.94,47001.04,0.122027,2022-01-03T08:38:00Z
46998.31,47001,46983.85,46986.92,0.028237,2022-01-03T08:39:00Z
46982.11,46997.66,46980.73,46980.73,0.108509,2022-01-03T08:40:00Z
46955.63,46977.74,46949.88,46972.45,0.173842,2022-01-03T08:41:00Z
46968.53,46977.5,46968.53,46971.73,0.100466,2022-01-03T08:42:00Z
46977.46,46979.24,46974.61,46974.61,0.048232,2022-01-03T08:43:00Z
