Entry,Exit,PnL
2022-01-08T00:02:00Z,2022-01-08T02:29:00Z,-16.32
2022-01-08T02:31:00Z,2022-01-08T08:14:00Z,11.08
2022-01-08T08:15:00Z,2022-01-08T08:30:00Z,0.26
2022-01-08T08:32:00Z,2022-01-08T08:48:00Z,-2.99
2022-01-08T08:49:00Z,2022-01-08T11:06:00Z,14.88
2022-01-08T11:07:00Z,2022-01-08T12:05:00Z,4.56
2022-01-08T12:06:00Z,2022-01-08T12:34:00Z,0.36
2022-01-08T12:40:00Z,2022-01-08T18:17:00Z,-162.41
2022-01-08T18:43:00Z,2022-01-08T19:07:00Z,2.06
2022-01-08T19:20:00Z,2022-01-08T19:57:00Z,6.69
2022-01-08T20:27:00Z,2022-01-08T20:54:00Z,-0.67
2022-01-08T20:55:00Z,2022-01-08T21:05:00Z,1.49
2022-01-08T21:21:00Z,2022-01-09T00:03:00Z,-38.45
2022-01-09T00:06:00Z,2022-01-09T00:46:00Z,4.20
2022-01-09T01:06:00Z,2022-01-09T05:19:00Z,-3.87
2022-01-09T05:20:00Z,2022-01-09T06:38:00Z,3.37
2022-01-09T06:55:00Z,2022-01-09T08:10:00Z,0.03
2022-01-09T08:11:00Z,2022-01-09T09:15:00Z,0.77
2022-01-09T09:18:00Z,2022-01-09T10:45:00Z,0.49
2022-01-09T10:57:00Z,2022-01-09T11:02:00Z,0.02
2022-01-09T11:04:00Z,2022-01-09T13:53:00Z,13.05
2022-01-09T14:00:00Z,2022-01-09T14:19:00Z,3.04
2022-01-09T14:43:00Z,2022-01-09T15:00:00Z,1.01
2022-01-09T15:12:00Z,2022-01-09T15:59:00Z,8.25
2022-01-09T16:01:00Z,2022-01-09T16:15:00Z,0.34
2022-01-09T16:23:00Z,2022-01-09T17:38:00Z,-23.87
2022-01-09T17:40:00Z,2022-01-09T17:58:00Z,1.05
2022-01-09T18:14:00Z,2022-01-09T18:21:00Z,0.75
2022-01-09T18:30:00Z,2022-01-09T23:08:00Z,17.00
2022-01-09T23:24:00Z,2022-01-10T04:15:00Z,1.41
2022-01-10T04:16:00Z,2022-01-10T06:07:00Z,-0.72
2022-01-10T06:08:00Z,2022-01-10T06:21:00Z,-0.78
2022-01-10T06:29:00Z,2022-01-10T13:58:00Z,-139.09
2022-01-10T14:08:00Z,2022-01-10T14:42:00Z,-17.09
2022-01-10T14:44:00Z,2022-01-10T17:27:00Z,322.90
2022-01-10T17:48:00Z,2022-01-10T19:52:00Z,6.88
2022-01-10T19:53:00Z,2022-01-10T20:34:00Z,2.14
2022-01-10T20:35:00Z,2022-01-10T21:50:00Z,-10.48
2022-01-10T21:51:00Z,2022-01-10T22:01:00Z,1.40
2022-01-10T22:02:00Z,2022-01-10T22:21:00Z,0.51
2022-01-10T22:47:00Z,2022-01-10T23:33:00Z,0.96
2022-01-10T23:35:00Z,2022-01-10T23:48:00Z,-0.01
2022-01-11T00:01:00Z,2022-01-11T00:04:00Z,0.53
2022-01-11T00:09:00Z,2022-01-11T01:34:00Z,6.89
2022-01-11T01:57:00Z,2022-01-11T08:41:00Z,85.19
2022-01-11T09:39:00Z,2022-01-11T10:16:00Z,6.76
2022-01-11T10:33:00Z,2022-01-11T14:52:00Z,-8.56
2022-01-11T15:01:00Z,2022-01-11T15:35:00Z,16.71
2022-01-11T15:59:00Z,2022-01-11T17:24:00Z,-40.12
2022-01-11T17:26:00Z,2022-01-11T17:42:00Z,0.62
2022-01-11T18:02:00Z,2022-01-11T18:19:00Z,3.23
2022-01-11T18:21:00Z,2022-01-11T19:31:00Z,-1.58
2022-01-11T19:32:00Z,2022-01-11T19:53:00Z,5.81
2022-01-11T19:54:00Z,2022-01-11T20:09:00Z,1.51
2022-01-11T20:10:00Z,2022-01-11T20:31:00Z,-1.96
2022-01-11T20:40:00Z,2022-01-11T20:48:00Z,0.03
2022-01-11T21:15:00Z,2022-01-11T23:04:00Z,-1.99
2022-01-11T23:06:00Z,2022-01-11T23:33:00Z,0.65
2022-01-11T23:35:00Z,2022-01-12T00:03:00Z,1.45
2022-01-12T00:04:00Z,2022-01-12T11:39:00Z,7.71
2022-01-12T11:40:00Z,2022-01-12T15:32:00Z,-154.12
2022-01-12T15:33:00Z,2022-01-12T16:03:00Z,-1.30
2022-01-12T16:26:00Z,2022-01-12T17:06:00Z,-1.38
2022-01-12T17:07:00Z,2022-01-12T17:51:00Z,5.30
2022-01-12T17:52:00Z,2022-01-12T18:51:00Z,1.34
2022-01-12T19:16:00Z,2022-01-12T20:10:00Z,-4.25
2022-01-12T20:39:00Z,2022-01-12T20:49:00Z,0.15
2022-01-12T20:50:00Z,2022-01-13T00:45:00Z,21.36
2022-01-13T00:50:00Z,2022-01-13T04:39:00Z,-14.32
2022-01-13T04:40:00Z,2022-01-13T04:50:00Z,-0.16
2022-01-13T04:51:00Z,2022-01-13T05:03:00Z,-0.06
2022-01-13T05:13:00Z,2022-01-13T05:26:00Z,-0.05
2022-01-13T06:08:00Z,2022-01-13T10:58:00Z,-9.04
2022-01-13T11:26:00Z,2022-01-13T12:08:00Z,1.96
2022-01-13T12:09:00Z,2022-01-13T15:14:00Z,42.81
2022-01-13T15:15:00Z,2022-01-13T16:10:00Z,-9.47
2022-01-13T16:25:00Z,2022-01-13T17:05:00Z,7.13
2022-01-13T17:13:00Z,2022-01-13T21:00:00Z,-30.83
2022-01-13T21:17:00Z,2022-01-13T22:37:00Z,12.32
2022-01-13T22:38:00Z,2022-01-14T04:12:00Z,15.40
2022-01-14T04:25:00Z,2022-01-14T07:54:00Z,8.93
2022-01-14T08:07:00Z,2022-01-14T11:53:00Z,-50.24
2022-01-14T12:02:00Z,2022-01-14T12:10:00Z,0.39
2022-01-14T12:17:00Z,2022-01-14T12:59:00Z,0.63
2022-01-14T13:09:00Z,2022-01-14T14:35:00Z,-4.26
2022-01-14T14:38:00Z,2022-01-14T15:38:00Z,-30.92
2022-01-14T15:41:00Z,2022-01-14T16:33:00Z,1.88
2022-01-14T16:34:00Z,2022-01-14T17:07:00Z,-0.45
2022-01-14T17:23:00Z,2022-01-14T18:57:00Z,-7.48
2022-01-14T19:03:00Z,2022-01-14T20:00:00Z,2.83
2022-01-14T20:46:00Z,2022-01-14T23:22:00Z,1.48
2022-01-14T23:24:00Z,2022-01-15T08:00:00Z,-11.40
2022-01-15T08:57:00Z,2022-01-15T09:56:00Z,-1.52
2022-01-15T09:57:00Z,2022-01-15T11:01:00Z,-6.74
2022-01-15T11:02:00Z,2022-01-15T14:41:00Z,1.21
2022-01-15T14:42:00Z,2022-01-15T21:40:00Z,-12.09
2022-01-15T21:56:00Z,2022-01-15T22:28:00Z,-0.49
2022-01-15T22:29:00Z,2022-01-15T22:50:00Z,0.58
2022-01-15T23:05:00Z,2022-01-15T23:37:00Z,1.75
2022-01-15T23:38:00Z,2022-01-16T03:21:00Z,-9.49
2022-01-16T03:22:00Z,2022-01-16T04:05:00Z,-0.13
2022-01-16T04:06:00Z,2022-01-16T05:25:00Z,1.60
2022-01-16T05:47:00Z,2022-01-16T06:38:00Z,0.42
2022-01-16T06:56:00Z,2022-01-16T07:30:00Z,-0.07
2022-01-16T07:37:00Z,2022-01-16T08:46:00Z,-0.66
2022-01-16T08:47:00Z,2022-01-16T10:06:00Z,-0.51
2022-01-16T10:07:00Z,2022-01-16T10:31:00Z,-0.34
2022-01-16T10:33:00Z,2022-01-16T13:44:00Z,-9.55
2022-01-16T13:45:00Z,2022-01-16T17:49:00Z,-6.31
2022-01-16T17:50:00Z,2022-01-16T20:44:00Z,-10.51
2022-01-16T20:45:00Z,2022-01-16T21:07:00Z,0.00
2022-01-16T21:21:00Z,2022-01-16T21:33:00Z,-0.01
2022-01-16T21:39:00Z,2022-01-16T23:13:00Z,3.33
2022-01-16T23:56:00Z,2022-01-17T03:04:00Z,-5.42
2022-01-17T03:14:00Z,2022-01-17T06:00:00Z,-24.68
2022-01-17T06:01:00Z,2022-01-17T07:55:00Z,2.61
2022-01-17T07:56:00Z,2022-01-17T08:35:00Z,0.58
2022-01-17T08:36:00Z,2022-01-17T09:20:00Z,-0.21
2022-01-17T09:21:00Z,2022-01-17T12:26:00Z,-9.32
2022-01-17T12:27:00Z,2022-01-17T12:45:00Z,-0.64
2022-01-17T12:46:00Z,2022-01-17T22:33:00Z,-113.89
2022-01-17T22:34:00Z,2022-01-18T07:23:00Z,25.93
2022-01-18T07:24:00Z,2022-01-18T09:31:00Z,-9.30
2022-01-18T09:49:00Z,2022-01-18T11:02:00Z,-0.39
2022-01-18T11:10:00Z,2022-01-18T12:01:00Z,-0.82
2022-01-18T12:02:00Z,2022-01-18T12:13:00Z,0.69
